,MD (m),Porosidade (frac),Permeab. Long. (mD),Cluster,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
0,5073.0,3.0,0.013,2,0.008446697974292188,1.6288875810834616e-05,99.81297576758516,0.17856123723955528,8.325173420138876e-09,0.0
1,5337.0,3.3000000000000003,0.005,2,0.01110310715630987,2.5120910675363678e-05,99.72809695651861,0.26077480496098904,1.0453391641927421e-08,0.0
2,5335.0,9.4,0.115,2,0.6037676062011488,0.023580957161741693,90.81284765669832,8.559803779938772,6.438981406736465e-18,0.0
3,5082.0,5.4,0.694,2,0.10133081113315102,0.0006518884824832072,95.04835382770885,4.849663469629643,3.0458725804415166e-09,0.0
4,5479.8,2.0,0.08,2,0.003276093171462019,3.6566441557215705e-06,99.951133360793,0.04558688771963454,1.671729441190098e-09,0.0
5,5523.8,0.8,0.0,2,0.0010688019524891556,6.056920374736232e-07,99.99214335160048,0.00678724070668001,4.830920934581116e-11,0.0
6,5079.0,4.8,0.003,2,0.03875511888971504,0.00018949063060119193,98.66154993608593,1.2995054489865872,5.4071814252287175e-09,0.0
7,5124.0,1.5,0.002,2,0.0021264785693577443,1.7982229763244063e-06,99.97656388536085,0.02130783735445565,4.923639070048656e-10,0.0
8,5145.0,4.9,6.63,3,0.8218317081620822,0.00353368534863659,5.376151154111293e-69,99.17463450802079,9.846848283763789e-08,0.0
9,5084.0,6.7,0.161,2,0.11795765452185521,0.0014274943132157644,95.68407439897685,4.1965404521615435,2.6560879993948247e-11,0.0
10,5133.0,9.6,104.0,1,47.49951841188748,52.50048158750702,0.0,2.969175229302665e-193,6.054866182797171e-10,0.0
11,5269.9,11.799999999999999,0.025,2,2.593486092909749,0.2542558506123726,90.36856136843707,6.783696688040795,4.175296501042151e-27,0.0
12,5684.0,1.7000000000000002,0.003,2,0.0025753136874615123,2.4371817557896377e-06,99.96839138699424,0.029030861286319272,8.502525772531533e-10,0.0
13,5727.4,4.1000000000000005,0.006,2,0.021893195712154437,7.51279523608624e-05,99.3304270286963,0.6476046370918949,1.0547277204677533e-08,0.0
14,5080.0,7.000000000000001,292.0,1,1.8693270830144514e-15,98.94618298449012,0.0,0.0,1.0538170155098514,0.0
15,5132.0,7.199999999999999,5.2,3,1.3333120897966404,0.01757658433135725,2.5237182692488775e-39,98.64911132583758,3.4430876037849755e-11,0.0
16,5156.0,9.4,86.1,0,81.40775136095965,18.59224863892461,0.0,3.073427747392943e-129,1.1574004621355245e-10,0.0
17,5260.8,13.600000000000001,0.223,2,2.6457995684181763,0.47535743057050456,95.67895476740766,1.1998882336036705,1.7349825712742137e-36,0.0
18,5097.0,14.000000000000002,388.0,1,2.622515445476111e-32,99.99999942122591,0.0,0.0,5.78774128176808e-07,0.0
19,5074.0,18.0,28.3,0,72.33240431742128,27.66759568257871,0.0,1.9877541853626835e-17,4.205348377750669e-62,0.0
20,5141.0,3.3000000000000003,10.5,3,1.8464773262024368,0.0032417803960204696,1.9700536412456883e-183,98.150279439965,1.4534365485584187e-06,0.0
21,5119.0,3.6999999999999997,0.0,2,0.015786041550828665,4.40641277349237e-05,99.56455587878482,0.4196140037919344,1.1744687122320995e-08,0.0
22,5144.0,3.9,0.024,2,0.01806375607613014,5.589263988896475e-05,99.46830028359958,0.5135800566001808,1.1084214864428617e-08,0.0
23,5086.0,5.7,0.256,2,0.05843449134725082,0.00044045245420299886,97.6097489069826,2.3313761485352527,6.807228709098664e-10,0.0
24,5093.0,5.7,14.5,3,30.273977034388665,0.1664719328777441,0.0,69.5595504877457,5.44987905026281e-07,0.0
25,5146.0,8.0,327.0,1,7.064271195348042e-21,97.3710775070807,0.0,0.0,2.6289224929193225,0.0
26,5131.0,8.5,42.1,0,97.95907299243203,2.0409270075203048,0.0,2.86763216362147e-25,4.7659081654540296e-11,0.0
27,5113.0,8.9,5.28,3,3.205458790574743,0.08792580895945605,1.7640731405840063e-39,96.70661540046581,2.4034482268785582e-15,0.0
28,5136.0,9.0,2.61,3,3.2742717269266057,0.10063505325813207,2.5919754383330097e-06,96.62509062783981,9.34652943463359e-16,0.0
29,5538.5,9.0,0.462,2,0.3589121476777895,0.011766321363981844,92.71689468020402,6.912426850754229,8.498214698274441e-17,0.0
30,5126.0,9.6,58.7,0,94.97692678018149,5.023073219818155,0.0,2.150991531886236e-56,3.444467244491605e-13,0.0
31,5107.0,10.100000000000001,0.795,2,0.8744578088093103,0.04420662588969466,89.22673344733641,9.854602117964555,2.881938474870946e-20,0.0
32,5114.0,11.799999999999999,146.0,1,0.26940952369312626,99.73059047630687,0.0,0.0,1.4522622017464875e-14,0.0
33,5135.0,11.899999999999999,186.0,1,0.00029444613739348116,99.99970555386086,0.0,0.0,1.735293015961908e-12,0.0
34,5379.0,12.0,0.744,2,1.2898023440066129,0.13268205672780167,95.33092108339481,3.2465945158707648,2.53107923390547e-28,0.0
35,5347.0,12.0,210.0,1,1.905797520976519e-06,99.99999809418154,0.0,0.0,2.0906395456362903e-11,0.0
36,5092.0,14.000000000000002,680.0,4,2.3838309365363098e-116,0.0001988318653317616,0.0,0.0,99.99980116813468,0.0
37,5155.0,33.900000000000006,318.0,5,2.6832574999922046e-42,1.906678161012359e-20,0.0,0.0,2.6015763543918537e-206,100.0
38,5123.0,2.0,0.0,2,0.0034320864475293434,3.840028471411434e-06,99.95101088235647,0.04555318940959111,1.7579296326611082e-09,0.0
39,5103.0,4.6,5.01,3,0.7700959664920314,0.002963636159670959,1.9136113980791795e-37,99.22694023052297,1.6682532174215165e-07,0.0
40,5111.0,5.7,57.9,0,99.04299411245125,0.9569816725015051,0.0,1.3599191842464137e-50,2.4215047231152814e-05,0.0
41,5115.0,7.6,2.78,3,1.7021964159152956,0.028604837250264966,3.7870560966358e-08,98.26919870895944,4.4558057229242805e-12,0.0
42,5125.0,7.7,7.61,3,2.572698770036667,0.03999044926860343,6.615103512819927e-90,97.38731078068949,5.244159651730729e-12,0.0
43,5088.0,8.0,20.6,0,98.52225716987772,1.4460112470704662,0.0,0.031731582952496756,9.929015155815933e-11,0.0
44,5122.0,8.200000000000001,62.9,0,96.52845038732148,3.4715496091135565,0.0,5.105556895803504e-64,3.5649748732430488e-09,0.0
45,5341.0,8.5,0.159,2,0.34073487212803083,0.009144395344070655,92.22084752436534,7.4292732081625585,2.7579551560065404e-15,0.0
46,5094.0,10.2,517.0,4,1.2309785843241043e-62,2.1611483912942138,0.0,0.0,97.8388516087058,0.0
47,5112.0,10.2,97.0,0,57.66045311726571,42.33954688273104,0.0,5.78497015593518e-168,3.232576254025141e-12,0.0
48,5127.0,11.3,153.0,1,0.111491854893193,99.88850814510467,0.0,0.0,2.1820964198642324e-12,0.0
49,5389.0,11.799999999999999,0.735,2,1.2164539431971952,0.11656940277117973,95.00405125735344,3.6629253966781787,2.1613115518873465e-27,0.0
50,5349.0,12.0,2.77,3,25.08547283016389,2.4260635995835997,3.614813868503487e-06,72.48845995543864,6.591157359683068e-27,0.0
51,5422.0,13.3,3.03,0,54.35131015952488,8.121078034008775,1.2022478423432318e-07,37.52761168624154,2.7921580510585756e-33,0.0
52,5387.0,13.3,3.37,0,55.14540639898377,8.158843133435997,9.356001936228936e-11,36.69575046748664,3.0016774534202572e-33,0.0
53,5128.0,13.5,17.8,0,89.42810208056446,10.571244697337184,0.0,0.0006532220983523112,5.125338037547e-33,0.0
54,5365.0,18.6,0.661,2,1.6710208854265969,1.1519504764025845,97.17657802178387,0.0004506163869846863,6.185597694776978e-72,0.0
55,5345.0,0.7000000000000001,0.0,2,0.0009666107566960188,5.169177199983633e-07,99.99331334082136,0.00571953147127237,3.291660490911084e-11,0.0
56,5091.0,1.2,0.0,2,0.001589624031031547,1.1337493112528231e-06,99.98520617428032,0.013203067742417153,1.9691950987309808e-10,0.0
57,5355.0,2.4,0.0,2,0.004981766777108,6.947766859049905e-06,99.91422461598933,0.08078666561711098,3.849585476441061e-09,0.0
58,5353.0,2.9000000000000004,0.104,2,0.007228888398286234,1.3176689701475533e-05,99.83822086741618,0.15453706045785706,7.037978536441938e-09,0.0
59,5158.0,4.1000000000000005,0.182,2,0.018850611049417636,6.433920465428071e-05,99.37129734228166,0.609787698394311,9.069972059850607e-09,0.0
60,5104.0,4.6,0.763,2,0.08673358097488075,0.00037490703257084517,95.89371001278954,4.019181480818511,1.8384515075044383e-08,0.0
61,5152.0,4.7,0.019,2,0.0348395654502819,0.00016196355666704042,98.8037475248318,1.1612509401379674,6.023280225138087e-09,0.0
62,5083.0,6.1,4.2,3,0.9607239862089612,0.007830216324554617,1.698351529200876e-24,99.03144579441043,3.056061792164205e-09,0.0
63,5120.0,6.9,95.2,0,85.63449027041506,14.365449152007837,0.0,1.0487958442828705e-155,6.057757706426909e-05,0.0
64,5139.0,7.3,64.1,0,97.47265514693176,2.5273445720129506,0.0,9.754129208758754e-66,2.8105526850336965e-07,0.0
65,5393.0,7.7,0.01,2,0.2924715224756883,0.005579928538295387,91.7718575805577,7.930090968427949,3.644359741143244e-13,0.0
66,5121.0,7.7,80.1,0,92.95798413473018,7.042015458797627,0.0,3.166273323911803e-108,4.0647222437168767e-07,0.0
67,5397.0,7.7,0.197,2,0.20615090023390595,0.003909975993877285,93.79492774505329,5.995011378718676,2.598206080564141e-13,0.0
68,5140.0,8.1,137.0,1,3.5188635614304657,96.48106741678585,0.0,0.0,6.902178372518398e-05,0.0
69,5150.0,10.0,22.8,0,96.81663871308255,3.1832878534863975,0.0,7.343343106392506e-05,9.906064039495721e-17,0.0
70,5117.0,10.4,4.17,3,8.04451789823693,0.41412597712398985,1.0166150327018016e-21,91.54135612463908,2.6468068231974468e-20,0.0
71,5367.0,10.4,0.651,2,0.726630819746371,0.04146870601615567,92.74493075944315,6.48696971479432,1.598226694059556e-21,0.0
72,5454.2,10.6,0.602,2,0.7319501708576238,0.04517773064867321,93.60470206765181,5.6181700308419,2.5005536954580284e-22,0.0
73,5108.0,10.6,124.0,1,6.906038262267517,93.0939617377225,0.0,6.227763737636826e-282,9.993649321745476e-12,0.0
74,5626.0,11.799999999999999,0.037,2,2.484035600147585,0.24343069453929334,90.75720944617959,6.515324259133545,4.005742593971555e-27,0.0
75,5373.0,12.0,1.43,2,13.832406286131688,1.3927268815987726,46.764689091093786,38.01017774117577,2.9949892731118517e-27,0.0
76,5371.0,12.0,0.017,2,2.9250454211479355,0.3080146711576386,90.3582314524693,6.408708455225151,5.174590976262081e-28,0.0
77,5377.0,13.700000000000001,0.1,2,4.109760494658636,0.76555268172932,93.49041068959856,1.634276134013496,7.040122863831675e-37,0.0
78,5096.0,14.7,44.6,0,83.72185457934907,16.27814542065093,0.0,7.860422522884239e-36,2.005057556627627e-37,0.0
79,5116.0,14.899999999999999,83.4,1,46.14164829319903,53.858351706800974,0.0,1.548777007248522e-130,1.8746752494508152e-34,0.0
80,5381.0,16.2,129.0,1,0.7635099618784318,99.23649003812157,0.0,4.94e-321,1.3726992458233258e-37,0.0
81,5154.0,1.7000000000000002,0.0,2,0.002581431506033081,2.443192713266592e-06,99.96836908601043,0.029047038438425626,8.524072511858449e-10,0.0
82,5149.0,3.6999999999999997,1.05,2,0.25385305074278847,0.0006865998332324088,88.52111649639409,11.22434366698681,1.8604310231210543e-07,0.0
83,5100.0,3.6999999999999997,0.0,2,0.015786041550828665,4.40641277349237e-05,99.56455587878482,0.4196140037919344,1.1744687122320995e-08,0.0
84,5157.0,4.7,5.19,3,0.7670897146295859,0.0030898141890781544,1.7586030942122199e-40,99.2298203338665,1.3731481602889389e-07,0.0
85,5166.8,4.7,0.021,2,0.034725685451899926,0.00016142417923707,98.80651652684331,1.1585963575219036,6.0036409175843966e-09,0.0
86,5137.0,4.9,2.73,3,1.0760473772406378,0.005105367572662713,3.798181934936765e-08,98.91884709448036,1.2272451598276052e-07,0.0
87,5118.0,5.4,10.2,3,2.3990864191465806,0.01223631298552573,3.0471065020499254e-170,97.58867717822042,8.96474871299887e-08,0.0
88,5078.0,5.7,12.7,3,10.047051470219458,0.05671387699309055,3.516058576987819e-267,89.89623448355529,1.6923215445131114e-07,0.0
89,5357.0,6.0,0.049,2,0.08729375730839861,0.000764216926668649,96.7531180509074,3.158823974504527,3.530166740360625e-10,0.0
90,5102.0,7.000000000000001,283.0,1,3.3058306148194434e-14,99.14482162931203,0.0,0.0,0.8551783706879069,0.0
91,5095.0,8.0,132.0,1,6.851023242651657,93.14890707946655,0.0,1.483373703e-314,6.967788180648249e-05,0.0
92,5361.0,9.8,0.057,2,0.8641001244412873,0.03971468354144181,89.4482354310204,9.647949760996855,3.4840316465274343e-19,0.0
93,5405.0,10.6,1.12,2,2.8862831541410934,0.17528938430973326,72.36929878692044,24.569128674628747,1.0474494291036272e-21,0.0
94,5391.0,11.1,17.3,0,94.99408665683,4.9452657520518635,0.0,0.06064759111813734,2.3737454330691933e-21,0.0
95,5369.0,11.3,0.844,2,1.3646170904074346,0.1086861767331831,92.10558317414856,6.4211135587108155,4.8949249634009815e-25,0.0
96,5375.0,11.799999999999999,1.12,2,3.7888535312949605,0.35870794357833025,83.76775860907448,12.084679916052234,7.102999181634869e-27,0.0
97,5148.0,16.900000000000002,62.8,0,61.596924209764424,38.403075790235555,0.0,2.067663946803497e-76,1.228234817958505e-49,0.0
98,5099.0,2.9000000000000004,0.001,2,0.007836073844023283,1.4328267013308867e-05,99.83396164413388,0.1581879461023627,7.652711651388344e-09,0.0
99,5143.0,4.5,9.53,3,1.4793951464998185,0.004902024352753563,7.606532676722045e-149,98.51570243182934,3.973181003999199e-07,0.0
100,5164.3,4.8,0.001,2,0.038895797214088014,0.00019019022845845598,98.65797063562637,1.3029433715043666,5.4267444941117405e-09,0.0
101,5134.0,5.1,0.057,2,0.04471423156570824,0.0002532527475299575,98.36480371653178,1.5902287961093504,3.0456588303023746e-09,0.0
102,5129.0,8.3,38.8,0,98.22314129328467,1.7768587066087664,0.0,1.8989393084432914e-20,1.0657344954082557e-10,0.0
103,5469.9,8.799999999999999,0.814,2,0.6012611653880912,0.01793934406434872,85.31918500574103,14.061614484806526,6.305842663659931e-16,0.0
104,5090.0,12.1,218.0,1,2.9790257035097005e-07,99.99999970206841,0.0,0.0,2.9023288775375795e-11,0.0
105,5385.0,17.1,8.66,0,72.14187697938875,27.845289603586426,6.537368705199465e-107,0.012833417024802138,1.884004014664081e-57,0.0
106,5351.0,5.800000000000001,0.183,2,0.0642812139891922,0.0005094700672431684,97.45371586815207,2.4814934472585297,5.329561348737681e-10,0.0
107,5383.0,8.200000000000001,0.424,2,0.24494543489964643,0.005734754755777818,93.20464084888378,6.5446789614607885,1.4710258340391482e-14,0.0
108,5411.0,8.799999999999999,0.576,2,0.3638135555578004,0.010935226686790492,91.66732329374706,7.95792792400834,3.7414742463541526e-16,0.0
109,5110.0,14.399999999999999,22.4,0,86.93704751969175,13.062952419968127,0.0,6.034012964747076e-08,8.609878104886604e-38,0.0
110,5147.0,14.899999999999999,42.5,0,83.50322130481763,16.496778695182368,0.0,1.1860039820077093e-32,7.618914684012777e-39,0.0
111,5098.0,7.000000000000001,1.22,3,1.2758223264885928,0.017146335884254824,36.26606146823435,62.44096986932014,7.266852501178208e-11,0.0
112,5399.0,8.6,0.638,2,0.3695629367421571,0.010192878349662527,90.62372910163404,8.99651508327415,1.5628844672053284e-15,0.0
113,5395.0,3.2,0.0,2,0.01023841116385181,2.1972692407267826e-05,99.75821796124997,0.2315216449817422,9.912048666896985e-09,0.0
114,5138.0,8.799999999999999,1.27,3,2.4735220084460305,0.07277819693912256,32.617129227094715,64.83657056752013,2.693908033006633e-15,0.0
